Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 977082-96-4," ASPARAGUS, SEED AND ROOT, EXTRACT"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 22839-47-0, ASPARTAME," FLAVOR ENHANCER,<br /> NON-NUTRITIVE SWEETENER"
 56-84-8, L-ASPARTIC ACID," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 9001-23-4, ASPERGILLUS NIGER FOR FERMENTATION PRODUCTION OF CITRIC ACID, SOLVENT OR VEHICLE
 472-61-7, ASTAXANTHIN, COLOR OR COLORING ADJUNCT
 123-77-3, AZODICARBONAMIDE," DOUGH STRENGTHENER,<br /> FLOUR TREATING AGENT"
 977050-35-3, BACTERIAL CATALASE FROM MICROCOCCUS LYSODEIKTICUS, ENZYME
 8013-01-2, BAKERS YEAST EXTRACT," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT"
 977014-12-2, BAKER'S YEAST GLYCAN," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 977014-13-3, BAKER'S YEAST PROTEIN, LEAVENING AGENT
 977051-08-3, BALM (MELISSA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 977090-74-6, BALM LEAVES (MELISSA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 84082-61-1," BALM LEAVES, EXTRACT (MELISSA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
 8014-71-9," BALM, OIL (MELISSA OFFICINALIS L.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977107-97-3," FIR, BALSAM, NEEDLES AND TWIGS (ABIES BALSAMEA (L.) MILL.)", FLAVORING AGENT OR ADJUVANT
 8024-15-5," BALSAM FIR, OIL (ABIES BALSAMEA (L.) MILL.)", FLAVORING AGENT OR ADJUVANT
 977017-81-4," BALSAM FIR, OLEORESIN (ABIES BALSAMEA (L.) MILL.)", FLAVORING AGENT OR ADJUVANT
 8007-00-9," BALSAM, PERU (MYROXYLON PEREIRAE KLOTZSCH)", FLAVORING AGENT OR ADJUVANT
 977136-92-7," BALSAM, PERU, OIL (MYROXYLON PEREIRAE KLOTZSCH)", FLAVORING AGENT OR ADJUVANT
 977050-14-8, BASIL (OCIMUM BASILICUM L.), FLAVORING AGENT OR ADJUVANT
 977051-55-0, BASIL BUSH (OCIMUM MINIMUM L.), FLAVORING AGENT OR ADJUVANT
 84775-71-3," BASIL, EXTRACT (OCIMUM BASILICUM L.)", FLAVORING AGENT OR ADJUVANT
 8015-73-4," BASIL, OIL (OCIMUM BASILICUM L.)"," EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVORING AGENT OR ADJUVANT"
 977017-82-5," BASIL, OLEORESIN (OCIMUM BASILICUM L.)", FLAVORING AGENT OR ADJUVANT
 977050-15-9, BAY (LAURUS NOBILIS L.), FLAVORING AGENT OR ADJUVANT
 84603-73-6," BAY LEAVES, SWEET, EXTRACT (LAURUS NOBILIS L.)", FLAVORING AGENT OR ADJUVANT
 8007-48-5," BAY LEAVES, SWEET, OIL (LAURUS NOBILIS L.)", FLAVORING AGENT OR ADJUVANT
 977090-77-9," BAY LEAVES, WEST INDIAN, EXTRACT (PIMENTA ACRIS KOSTEL)", FLAVORING AGENT OR ADJUVANT
 8006-78-8," BAY LEAVES, WEST INDIAN, OIL (PIMENTA RACEMOSA (MILL.) J.W. MOORE)", FLAVORING AGENT OR ADJUVANT
 977090-78-0," BAY LEAVES, WEST INDIAN, OLEORESIN (PIMENTA ACRIS KOSTEL)", FLAVORING AGENT OR ADJUVANT
 8021-39-4," BEECHWOOD, CREOSOTE (FAGUS SPP.)", FLAVORING AGENT OR ADJUVANT
 8012-89-3, BEESWAX," FLAVORING AGENT OR ADJUVANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-FINISHING AGENT"
 100-52-7, BENZALDEHYDE, FLAVORING AGENT OR ADJUVANT
 1125-88-8, BENZALDEHYDE DIMETHYL ACETAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1319-88-6, BENZALDEHYDE GLYCERYL ACETAL, FLAVORING AGENT OR ADJUVANT
 2568-25-4, BENZALDEHYDE PROPYLENE GLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 71-43-2, BENZENE,
 108-98-5, BENZENETHIOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4265-16-1, 2-BENZOFURANCARBOXALDEHYDE, FLAVORING AGENT OR ADJUVANT
 119-53-9, BENZOIN," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 9000-05-9," BENZOIN, RESIN (STYRAX SPP.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 95-16-9, BENZOTHIAZOLE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 579-93-1, N-BENZOYLANTHRANILIC ACID, FLAVORING AGENT OR ADJUVANT
 94-36-0, BENZOYL PEROXIDE," COLOR OR COLORING ADJUNCT,<br /> FLOUR TREATING AGENT"
 140-11-4, BENZYL ACETATE, FLAVORING AGENT OR ADJUVANT
 5396-89-4, BENZYL ACETOACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 100-51-6, BENZYL ALCOHOL," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 120-51-4, BENZYL BENZOATE," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 588-67-0, BENZYL BUTYL ETHER, FLAVORING AGENT OR ADJUVANT
 103-37-7, BENZYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 103-41-3, BENZYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 7492-69-5," BENZYL 2,3-DIMETHYLCROTONATE", FLAVORING AGENT OR ADJUVANT
 150-60-7, BENZYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 539-30-0, BENZYL ETHYL ETHER, FLAVORING AGENT OR ADJUVANT
 104-57-4, BENZYL FORMATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7492-37-7, 3-BENZYL-4-HEPTANONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 6938-45-0, BENZYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 103-28-6, BENZYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 622-78-6, BENZYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 103-38-8, BENZYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 6939-75-9, BENZYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 100-53-8, BENZYL MERCAPTAN," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7492-39-9, BENZYL METHOXYETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 37526-88-8, BENZYL TRANS-2-METHYL-2-BUTENOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 766-92-7, BENZYL METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 6471-66-5, BENZYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 102-16-9, BENZYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 122-63-4, BENZYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 118-58-1, BENZYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 8007-75-8," BERGAMOT, OIL (CITRUS AURANTIUM L. SUBSP. BERGAMIA WRIGHT ET ARN.)", FLAVORING AGENT OR ADJUVANT
 107-43-7, BETAINE, FLAVORING AGENT OR ADJUVANT
 92-52-4, BIPHENYL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 68917-50-0," BIRCH, SWEET, OIL (BETULA LENTA L.)", FLAVORING AGENT OR ADJUVANT
 8001-88-5," BIRCH TAR, OIL (BETULA PENDULA ROTH AND RELATED BETULA SPP.)", FLAVORING AGENT OR ADJUVANT
 495-62-5, BISABOLENE," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 28588-73-0," BIS(2,5-DIMETHYL-3-FURYL) DISULFIDE", FLAVORING AGENT OR ADJUVANT
 53897-60-2, BIS(1-MERCAPTOPROPYL)SULFIDE, FLAVORING AGENT OR ADJUVANT
 1618-26-4, BIS-(METHYLTHIO)METHANE, FLAVORING AGENT OR ADJUVANT
 28588-75-2, BIS(2-METHYL-3-FURYL) DISULFIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4032-80-8, BIS(2-METHYLPHENYL) DISULFIDE, FLAVORING AGENT OR ADJUVANT
 28588-76-3, BIS(2-METHYL-3-FURYL) TETRASULFIDE, FLAVORING AGENT OR ADJUVANT
 977047-53-2," BLACKBERRY BARK, EXTRACT (RUBUS, SPP. OF SECTION EUBATUS)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 84787-69-9, BLACKBERRY FRUIT EXTRACT, FLAVORING AGENT OR ADJUVANT
 8015-77-8," BOIS DE ROSE, OIL (ANIBA ROSAEODORA DUCKE)", FLAVORING AGENT OR ADJUVANT
 977052-75-7, BOLDUS LEAVES (PEUMUS BOLDUS MOL.),
 977138-71-8," BONITO, DRIED",
 10043-35-3, BORIC ACID, LUBRICANT OR RELEASE AGENT
 507-70-0, BORNEOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 76-49-3, BORNYL ACETATE, FLAVORING AGENT OR ADJUVANT
 5655-61-8, L-BORNYL ACETATE, FLAVORING AGENT OR ADJUVANT
 13109-70-1, BORNYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 7492-41-3, BORNYL FORMATE, FLAVORING AGENT OR ADJUVANT
 76-50-6, BORNYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 7549-41-9, BORNYL VALERATE, FLAVORING AGENT OR ADJUVANT
 8053-33-6," BORONIA, ABSOLUTE (BORONIA MEGASTIGMA NEES)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977090-81-5," BOUILLON, VEGETABLE, SMOKE",
 5208-59-3, BETA-BOURBONENE, FLAVORING AGENT OR ADJUVANT
 9001-00-7, BROMELAIN," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> TEXTURIZER"
 977000-49-9, BRYONIA ROOT (BRYONIA SPP.), FLAVORING AGENT OR ADJUVANT
 977000-50-2, BUCHU LEAVES (BAROSMA BETULINA AND CRENULATA), FLAVORING AGENT OR ADJUVANT
 977009-82-7, BUCHU LEAVES EXTRACT," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 68650-46-4," BUCHU LEAVES, OIL (BAROSMA SPP.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977038-51-9, BUCKBEAN LEAVES (MENYANTHES TRIFOLIATA L.)," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977038-52-0," BUCKBEAN LEAVES, EXTRACT (MENYANTHES TRIFOLIATA L.)", FLAVORING AGENT OR ADJUVANT
 9003-55-8, BUTADIENE-STYRENE RUBBER, MASTICATORY SUBSTANCE
 42919-64-2, 4-(METHYLTHIO)BUTANAL, FLAVORING AGENT OR ADJUVANT
 101780-73-8, BUTANAL DIBENZYL THIOACETAL, FLAVORING AGENT OR ADJUVANT
 106-97-8, N-BUTANE, PROPELLANT
 16128-68-0," 1,2-BUTANEDITHIOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 24330-52-7," 1,3-BUTANEDITHIOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4532-64-3," 2,3-BUTANEDITHIOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 109-79-5, 1-BUTANETHIOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 78-92-2, 2-BUTANOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 78-93-3, 2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 84642-61-5, BUTAN-3-ONE-2-YL BUTANOATE, FLAVORING AGENT OR ADJUVANT
 3724-65-0, (E)-2-BUTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 13215-88-8," 4-(2-BUTENYLIDENE)-3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE", FLAVORING AGENT OR ADJUVANT
 3386-97-8, 3-BUTENYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 32951-19-2, 1-BUTEN-1-YL METHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 85536-25-0, BUTTER ACIDS," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977019-26-3, BUTTER ESTERS," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977093-25-6," BUTTER FAT, ENZYME-MODIFIED, WITH ADDED BUTYRIC ACID"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> TEXTURIZER"
 123-86-4, BUTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 591-60-6, BUTYL ACETOACETATE, FLAVORING AGENT OR ADJUVANT
 71-36-3, BUTYL ALCOHOL," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 109-73-9, BUTYLAMINE, FLAVORING AGENT OR ADJUVANT
 13952-84-6, SEC-BUTYLAMINE, FLAVORING AGENT OR ADJUVANT
 7756-96-9, BUTYL ANTHRANILATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 25409-08-9, 2-BUTYL-2-BUTENAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 109-21-7, BUTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 7492-70-8, BUTYL BUTYRYLLACTATE, FLAVORING AGENT OR ADJUVANT
 7492-44-6, ALPHA-BUTYLCINNAMALDEHYDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 538-65-8, BUTYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 7492-45-7, BUTYL 2-DECENOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 107-88-0," 1,3-BUTYLENE GLYCOL"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 63986-03-8, BUTYL ETHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 17373-84-1, BUTYL ETHYL MALONATE, FLAVORING AGENT OR ADJUVANT
 592-84-7, BUTYL FORMATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4466-24-4, 2-BUTYLFURAN, FLAVORING AGENT OR ADJUVANT
 5454-28-4, BUTYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 626-82-4, BUTYL HEXANOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 94-26-8, BUTYL P-HYDROXYBENZOATE, FLAVORING AGENT OR ADJUVANT
 9038-95-3, ALPHA-BUTYL-OMEGA-HYDROXYPOLY(OXYETHYLENE) POLY(OXYPROPYLENE)," BOILER WATER ADDITIVE,<br /> SURFACE-ACTIVE AGENT"
 551-08-6, 3-BUTYLIDENEPHTHALIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 97-87-0, BUTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 592-82-5, BUTYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 4426-79-3, 2-BUTYLISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 109-19-3, BUTYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 138-22-7, BUTYL LACTATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 106-18-3, BUTYL LAURATE, FLAVORING AGENT OR ADJUVANT
 2052-15-5, BUTYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 15706-73-7, N-BUTYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 77105-53-4, BUTYL BETA-(METHYLTHIO)ACRYLATE, FLAVORING AGENT OR ADJUVANT
 10484-56-7, BUTYL BETA-NAPHTHYL ETHER, FLAVORING AGENT OR ADJUVANT
 38621-44-2, BUTYL OLEATE SULFATE,
 65504-95-2," 2-BUTYL-5 OR 6-KETO-1,4-DIOXANE", FLAVORING AGENT OR ADJUVANT
 122-43-0, BUTYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 6066-49-5, 3-N-BUTYLPHTHALIDE, FLAVORING AGENT OR ADJUVANT
 590-01-2, BUTYL PROPIONATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2052-14-4, BUTYL SALICYLATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 123-95-5, BUTYL STEARATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID"
 544-40-1, BUTYL SULFIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 109-42-2, BUTYL 10-UNDECENOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 591-68-4, BUTYL VALERATE, FLAVORING AGENT OR ADJUVANT
 123-72-8, BUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 541-35-5, BUTYRAMIDE, FLAVORING AGENT OR ADJUVANT
 107-92-6, BUTYRIC ACID," ANTIOXIDANT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT"
 4208-57-5, 2-BUTYRYLFURAN, FLAVORING AGENT OR ADJUVANT
 29350-73-0, CADINENE, FLAVORING AGENT OR ADJUVANT
 8008-98-8," CAJEPUT, OIL (MELALEUCA LEUCADENDRON L.)", FLAVORING AGENT OR ADJUVANT
 84775-39-3, CALAMUS EXTRACT--PROHIBITED,
 8015-79-0, CALAMUS OIL--PROHIBITED, FLAVORING AGENT OR ADJUVANT
 977022-90-4, CALAMUS--PROHIBITED, FLAVORING AGENT OR ADJUVANT
 5743-27-1, CALCIUM ASCORBATE, ANTIOXIDANT
 2090-05-3, CALCIUM BENZOATE, ANTIMICROBIAL AGENT
 10102-75-7, CALCIUM BROMATE," DOUGH STRENGTHENER,<br /> LEAVENING AGENT"
 13747-30-3, CALCIUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT"
 6107-56-8, CALCIUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT"
 5897-16-5, CALCIUM CYCLAMATE--PROHIBITED, NON-NUTRITIVE SWEETENER
 5996-22-5, CALCIUM DIGLUTAMATE,
 7718-51-6, CALCIUM FUMARATE, NUTRIENT SUPPLEMENT
 5001-51-4, CALCIUM LACTOBIONATE, FIRMING AGENT
 4696-56-4, CALCIUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT"
 8061-52-7, CALCIUM LIGNOSULFONATE, SURFACE-ACTIVE AGENT
 15284-51-2, CALCIUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT"
 142-17-6, CALCIUM OLEATE, STABILIZER OR THICKENER
 542-42-7, CALCIUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT"
 6363-38-8," CALCIUM PANTOTHENATE, CALCIUM CHLORIDE DOUBLE SALT", NUTRIENT SUPPLEMENT
 1305-79-9, CALCIUM PEROXIDE," DOUGH STRENGTHENER,<br /> FLOUR TREATING AGENT,<br /> OXIDIZING OR REDUCING AGENT,<br /> SEQUESTRANT"
 977089-53-4, CALCIUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> LUBRICANT OR RELEASE AGENT"
 5793-94-2, CALCIUM STEAROYL-2-LACTYLATE," DOUGH STRENGTHENER,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 977000-55-7, CALUMBA ROOT (JATRORRHIZA PALMATA (LAM.) MIERS)," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977000-74-0," CALUMBA ROOT, EXTRACT (JATRORRHIZA PALMATA (LAM.) MIERS)", FLAVORING AGENT OR ADJUVANT
 79-92-5, CAMPHENE," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 1727-68-0, CAMPHOLENE ACETATE, FLAVORING AGENT OR ADJUVANT
 1901-38-8, ALPHA-CAMPHOLENIC ALCOHOL, FLAVORING AGENT OR ADJUVANT
 464-49-3, D-CAMPHOR," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 8008-51-3," CAMPHOR, JAPANESE, WHITE, OIL (CINNAMOMUM CAMPHORA (L.) NEES ET EBERM.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 8022-91-1," CAMPHOR OIL, FORMOSAN HO-SHO, LEAVES (CINNAMOMUM CAMPHORA)", FLAVORING AGENT OR ADJUVANT
 68606-83-7," CANANGA, OIL (CANANGA ODORATA HOOK. F. AND THOMS.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 8006-44-8, CANDELILLA WAX (WAX FROM STEMS AND BRANCHES OF EUPHORBIA CERIFERA)," FLAVORING AGENT OR ADJUVANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> MASTICATORY SUBSTANCE,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 977075-47-0, CANDIDA GUILLIERMONDII, PROCESSING AID
 67892-25-5, CANDIDA LIPOLYTICA,
 514-78-3, CANTHAXANTHIN, COLOR OR COLORING ADJUNCT
 977050-25-1, CAPERS (CAPPARIS SPINOSA L.)," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 105-60-2, CAPROLACTAM, FLAVORING AGENT OR ADJUVANT
 977007-72-9, CAPSICUM (CAPSICUM SPP.)," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977018-42-0, CAPSICUM EXTRACT (CAPSICUM SPP.), FLAVORING AGENT OR ADJUVANT
 8023-77-6," CAPSICUM, OLEORESIN (CAPSICUM SPP.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 977001-27-6, CARAWAY (CARUM CARVI L.), FLAVORING AGENT OR ADJUVANT
 977017-84-7," CARAWAY, BLACK (NIGELLA SATIVA L.)", FLAVORING AGENT OR ADJUVANT
 8000-42-8," CARAWAY, OIL (CARUM CARVI L.)", FLAVORING AGENT OR ADJUVANT
 977050-27-3, CARBOHYDRASE AND CELLULASE FROM ASPERGILLUS NIGER, PROCESSING AID
 977082-97-5," CARBOHYDRASE AND PROTEASE, MIXTURE, FROM BACILLUS SUBTILIS", ENZYME
 977017-32-5, CARBOHYDRASE FROM ASPERGILLUS ORYZAE,
 977184-71-6, CARBOHYDRASE FROM BACILLUS AMYLOLIQUEFACIENS, ENZYME
 977043-27-8, CARBOHYDRASE FROM BACILLUS LICHENIFORMIS, ENZYME
 977031-70-1, CARBOHYDRASE FROM BACILLUS SUBTILIS, ENZYME
 977050-28-4, CARBOHYDRASE FROM RHIZOPUS ORYZAE, PROCESSING AID
 977031-72-3, CARBOHYDRASE FROM SACCHAROMYCES SPP., ENZYME
 977083-17-2," CARBOHYDRASE/PROTEINASE PREPARATION, BACILLUS LICHENIFORMIS", ENZYME
 9004-30-2, CARBOXYMETHYL HYDROXYETHYL CELLULOSE," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977005-95-0, CARDAMOM (ELLETARIA CARDAMOMUM (L.) MATON), FLAVORING AGENT OR ADJUVANT
 977090-82-6, CARDAMOM OLEORESIN, FLAVORING AGENT OR ADJUVANT
 8000-66-6," CARDAMOM SEED, OIL (ELLETARIA CARDAMOMUM (L.) MATON)", FLAVORING AGENT OR ADJUVANT
 13466-78-9, 3-CARENE, FLAVORING AGENT OR ADJUVANT
 1390-65-4, CARMINE (COCCUS CACTI L.)," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 541-15-1, L-CARNITINE, NUTRIENT SUPPLEMENT
 84961-45-5," CAROB BEAN, EXTRACT (CERATONIA SILIQUA L.)", FLAVORING AGENT OR ADJUVANT
 60063-90-3," CARRAGEENAN, AMMONIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977089-28-3," CARRAGEENAN, AMMONIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 9049-05-2," CARRAGEENAN, CALCIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977089-29-4," CARRAGEENAN, CALCIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 64366-24-1," CARRAGEENAN, POTASSIUM SALT OF"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977089-30-7," CARRAGEENAN, POTASSIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977043-70-1, CARRAGEENAN SALTS WITH POLYSORBATE 80, DRYING AGENT
 9061-82-9," CARRAGEENAN, SODIUM SALT OF"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> STABILIZER OR THICKENER"
 977089-31-8," CARRAGEENAN, SODIUM SALT OF, WITH POLYSORBATE 80"," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977043-68-7, CARRAGEENAN WITH POLYSORBATE 80," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 8015-88-1," CARROT, OIL (DAUCUS CAROTA L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 499-75-2, CARVACROL, FLAVORING AGENT OR ADJUVANT
 4732-13-2, CARVACRYL ETHYL ETHER," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
